Date,Slot,Subject,B24AD1090,B24AD1091,B24AD1092,B24AD1093,B24AD1094,B24AD1095,B24AD1096,B24AD1097,B24AD1098,B24AD1099,B24AD1100,B24AD1101,B24AD1102,B24AD1103,B24AD1104,B24AD1105,B24AD1106,B24AD1107,B24AD1108,B24AD1109,B24AD1110,B24AD1111,B24AD1112,B24AD1113,B24AD1114,B24AD1115,B24AD1116
2026-03-06,08:00-09:00,DBMS (T),P,P,P,P,A,P,P,P,P,P,P,A,A,P,A,P,P,A,P,P,P,A,P,P,P,P,P
2026-03-06,09:00-10:00,DSA (T),P,P,P,A,A,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,A,P,P,A,P,A,P
2026-03-06,10:30-12:30,DSA (L),P,A,P,P,P,P,A,A,A,P,P,A,P,P,A,P,P,P,P,P,P,A,A,P,P,P,P
2026-03-06,13:15-15:15,DBMS (L),P,A,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,A,A,P,P,A,P,P
2026-03-09,08:00-09:00,DBMS (T),P,P,A,A,P,P,A,P,A,P,P,P,P,P,A,P,P,P,P,A,P,A,P,P,P,A,P
2026-03-09,09:00-10:00,DSA (T),P,A,P,P,A,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P
2026-03-09,10:30-12:30,DBMS (L),P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,A,A,P,P
2026-03-09,13:15-15:15,EDI (L),A,P,P,P,A,P,P,P,A,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P
2026-03-10,08:00-09:00,DSA (T),P,P,P,A,A,A,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P
2026-03-10,09:00-10:00,AS (T),A,P,P,P,A,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P
2026-03-10,10:30-12:30,DSA (L),A,A,P,P,A,A,P,P,A,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P
2026-03-10,13:15-15:15,MLCT (L),P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A,A,P,P
2026-03-11,08:00-09:00,AS (T),P,P,P,A,P,P,P,A,P,P,P,P,P,P,A,P,A,P,A,A,P,P,P,P,P,P,A
2026-03-11,09:00-10:00,DBMS (T),P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,A,P,A,P,A,P
2026-03-11,10:30-12:30,EDI (L),A,A,P,A,P,P,P,P,P,P,P,P,A,A,P,A,P,P,P,P,A,P,P,A,P,P,P
2026-03-11,13:15-15:15,DBMS (L),P,P,A,P,A,P,P,P,A,P,A,P,P,P,P,P,P,P,P,A,P,P,A,P,P,A,A
2026-03-12,08:00-09:00,DSA (T),P,P,P,P,P,P,P,P,P,A,P,P,A,P,A,P,A,P,P,A,P,P,P,P,A,A,P
2026-03-12,09:00-10:00,AS (T),P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,A,P,A,A,A
2026-03-12,10:30-12:30,CTC (L),P,P,P,A,P,P,P,A,P,P,A,P,A,A,A,P,P,P,P,P,P,P,P,P,A,P,A
2026-03-12,13:15-15:15,DSA (L),P,P,P,P,A,P,P,P,A,P,A,A,P,A,P,A,P,P,P,P,P,A,P,P,P,P,P
2026-03-13,08:00-09:00,DBMS (T),P,P,A,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,A
2026-03-13,09:00-10:00,DSA (T),P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,A,P,P,A,A,P
2026-03-13,10:30-12:30,DSA (L),P,A,P,A,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,A,P,P,A,P,A
2026-03-13,13:15-15:15,DBMS (L),P,P,P,A,P,P,A,P,P,A,P,A,P,P,P,P,A,P,A,A,P,P,P,P,P,P,P
2026-03-16,08:00-09:00,DBMS (T),P,P,P,A,P,P,P,A,P,P,P,A,P,P,P,A,P,A,P,P,P,A,P,P,P,P,P
2026-03-16,09:00-10:00,DSA (T),P,P,P,A,P,P,P,A,A,P,P,P,P,A,P,P,P,A,A,P,P,P,P,P,A,P,P
2026-03-16,10:30-12:30,DBMS (L),P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,A,A,P,P,P,A
2026-03-16,13:15-15:15,EDI (L),P,P,P,P,P,A,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P
2026-03-17,08:00-09:00,DSA (T),A,P,P,P,A,A,P,P,P,P,P,A,A,P,P,P,P,P,A,P,P,A,P,P,P,P,P
2026-03-17,09:00-10:00,AS (T),A,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P
2026-03-17,10:30-12:30,DSA (L),P,P,P,P,P,A,P,P,P,P,A,A,A,A,A,P,P,P,P,P,P,P,P,P,P,P,P
2026-03-17,13:15-15:15,MLCT (L),P,A,A,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,A,P,P,P,A,A,P,P
2026-03-18,08:00-09:00,AS (T),P,A,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,P
2026-03-18,09:00-10:00,DBMS (T),P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,A,P,P,P,A,P,A,P,P,A,P,A
2026-03-18,10:30-12:30,EDI (L),P,P,P,A,P,P,A,P,P,P,P,A,P,A,P,P,A,P,P,P,P,P,P,A,A,P,P
2026-03-18,13:15-15:15,DBMS (L),P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,A,P,P,A,P,P,P,A,A
2026-03-19,08:00-09:00,DSA (T),A,A,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P
2026-03-19,09:00-10:00,AS (T),P,P,P,P,A,P,A,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A
2026-03-19,10:30-12:30,CTC (L),A,P,P,A,A,A,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,A,P,P,P
2026-03-19,13:15-15:15,DSA (L),P,P,A,P,P,P,P,A,P,P,P,A,P,P,P,P,A,A,P,P,P,A,A,P,P,P,A
2026-03-20,08:00-09:00,DBMS (T),A,A,A,P,P,P,P,P,P,P,A,P,P,A,A,P,P,P,A,P,P,P,P,A,P,P,P
2026-03-20,09:00-10:00,DSA (T),P,P,P,A,P,P,P,P,P,A,P,P,A,A,P,P,P,P,A,P,A,P,A,P,P,A,P
2026-03-20,10:30-12:30,DSA (L),P,P,P,P,P,A,P,P,P,P,A,P,P,P,A,P,P,P,P,A,P,P,P,P,P,A,P
2026-03-20,13:15-15:15,DBMS (L),P,P,A,A,P,P,P,A,P,P,P,P,A,A,P,P,P,P,A,P,P,P,P,P,P,A,P
2026-03-23,08:00-09:00,DBMS (T),P,P,P,P,P,P,P,A,P,A,A,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P
2026-03-23,09:00-10:00,DSA (T),P,P,A,A,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,A,A,P,P
2026-03-23,10:30-12:30,DBMS (L),P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,A,A,A,P
2026-03-23,13:15-15:15,EDI (L),P,P,P,A,A,A,A,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P
2026-03-24,08:00-09:00,DSA (T),P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,A,A
2026-03-24,09:00-10:00,AS (T),P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,A,P,A,P,A,A,A,A
2026-03-24,10:30-12:30,DSA (L),P,P,A,P,A,P,P,P,P,P,A,P,P,P,A,A,P,P,P,P,A,P,P,A,P,P,P
2026-03-24,13:15-15:15,MLCT (L),P,A,A,P,P,P,P,P,A,P,P,A,P,P,P,P,A,P,A,P,P,P,P,P,P,A,P
2026-03-25,08:00-09:00,AS (T),P,A,A,P,P,P,P,P,P,A,P,A,P,P,A,P,P,P,P,P,P,P,P,P,A,P,A
2026-03-25,09:00-10:00,DBMS (T),P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,A,P,A,A,P,P,P,P,P,P,P
2026-03-25,10:30-12:30,EDI (L),P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,A,P,A,P,P,P,P,A,P
2026-03-25,13:15-15:15,DBMS (L),P,A,P,A,A,P,P,P,P,P,P,P,P,P,A,A,A,P,P,A,P,P,P,P,P,P,P
2026-03-26,08:00-09:00,DSA (T),P,A,A,P,P,A,P,A,P,P,P,P,P,P,P,P,A,P,P,P,A,P,A,P,P,P,P
2026-03-26,09:00-10:00,AS (T),P,P,P,P,P,A,P,P,P,A,P,A,P,P,A,P,A,P,P,A,P,A,P,P,P,A,P
2026-03-26,10:30-12:30,CTC (L),P,A,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P,P,A,A,A,P,P,A,A,P
2026-03-26,13:15-15:15,DSA (L),P,P,P,A,P,P,P,P,P,P,A,P,A,P,P,P,P,A,P,P,P,A,P,P,P,P,P
2026-03-27,08:00-09:00,DBMS (T),P,P,A,P,A,P,P,P,A,P,A,P,P,P,P,P,P,P,P,A,P,A,P,A,P,P,P
2026-03-27,09:00-10:00,DSA (T),P,P,P,P,P,P,P,P,P,A,P,A,A,P,P,P,P,P,P,P,A,A,A,P,P,P,P
2026-03-27,10:30-12:30,DSA (L),P,P,A,P,P,P,P,P,P,A,P,P,A,P,P,P,P,A,P,A,P,P,A,P,P,P,P
2026-03-27,13:15-15:15,DBMS (L),P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,A,P,A,P,A
2026-03-30,08:00-09:00,DBMS (T),A,P,P,P,P,A,A,P,P,A,A,A,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P
2026-03-30,09:00-10:00,DSA (T),P,P,A,A,A,P,A,A,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P
2026-03-30,10:30-12:30,DBMS (L),P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,P
2026-03-30,13:15-15:15,EDI (L),P,A,P,P,A,A,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,A,P,A,A,P
2026-03-31,08:00-09:00,DSA (T),P,P,P,P,P,P,P,A,P,A,P,A,P,P,A,P,P,P,P,A,P,A,A,A,P,P,P
2026-03-31,09:00-10:00,AS (T),P,P,P,P,P,P,A,A,P,A,P,A,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P
2026-03-31,10:30-12:30,DSA (L),P,P,P,P,P,A,P,P,P,A,P,P,A,A,A,P,A,P,P,P,P,P,A,P,A,P,P
2026-03-31,13:15-15:15,MLCT (L),P,A,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,A,P
2026-04-01,08:00-09:00,AS (T),P,P,A,A,P,P,P,P,P,A,P,A,P,P,P,P,A,A,P,P,P,P,A,P,A,P,P
2026-04-01,09:00-10:00,DBMS (T),P,P,A,P,A,P,P,P,A,P,P,P,P,A,A,P,A,P,P,P,P,P,P,P,P,P,P
2026-04-01,10:30-12:30,EDI (L),A,A,P,P,P,P,P,P,P,P,P,A,P,A,A,P,P,P,P,P,P,P,P,P,P,P,A
2026-04-01,13:15-15:15,DBMS (L),A,P,A,P,P,P,P,A,P,P,P,A,A,P,P,P,A,P,P,P,P,P,P,P,A,A,P
2026-04-02,08:00-09:00,DSA (T),P,A,P,A,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P
2026-04-02,09:00-10:00,AS (T),P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,A,P,A,A,A
2026-04-02,10:30-12:30,CTC (L),A,P,A,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A
2026-04-02,13:15-15:15,DSA (L),P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,A,A,P,A,P,P,P,A,P,P,P
2026-04-03,08:00-09:00,DBMS (T),P,A,P,A,P,P,P,A,P,A,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,A
2026-04-03,09:00-10:00,DSA (T),A,P,A,A,P,P,P,P,P,P,P,P,P,P,P,A,A,A,P,A,A,P,P,P,P,P,P
2026-04-03,10:30-12:30,DSA (L),A,P,P,P,A,P,P,P,P,A,P,P,P,A,P,P,P,P,P,A,P,P,A,P,P,P,P
2026-04-03,13:15-15:15,DBMS (L),P,P,A,P,P,A,P,A,P,P,P,P,P,A,P,P,P,P,A,P,P,A,A,P,P,P,P
2026-04-06,08:00-09:00,DBMS (T),A,P,P,P,P,A,A,P,P,A,A,A,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P
2026-04-06,09:00-10:00,DSA (T),P,P,A,A,A,P,A,A,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P
2026-04-06,10:30-12:30,DBMS (L),P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,P
2026-04-06,13:15-15:15,EDI (L),P,A,P,P,A,A,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,A,P,A,A,P
2026-04-07,08:00-09:00,DSA (T),P,P,P,P,P,P,P,A,P,A,P,A,P,P,A,P,P,P,P,A,P,A,A,A,P,P,P
2026-04-07,09:00-10:00,AS (T),P,P,P,P,P,P,A,A,P,A,P,A,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P
2026-04-07,10:30-12:30,DSA (L),P,P,P,P,P,A,P,P,P,A,P,P,A,A,A,P,A,P,P,P,P,P,A,P,A,P,P
2026-04-07,13:15-15:15,MLCT (L),P,A,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,A,P
2026-04-08,08:00-09:00,AS (T),P,P,A,A,P,P,P,P,P,A,P,A,P,P,P,P,A,A,P,P,P,P,A,P,A,P,P
2026-04-08,09:00-10:00,DBMS (T),P,P,A,P,A,P,P,P,A,P,P,P,P,A,A,P,A,P,P,P,P,P,P,P,P,P,P
2026-04-08,10:30-12:30,EDI (L),A,A,P,P,P,P,P,P,P,P,P,A,P,A,A,P,P,P,P,P,P,P,P,P,P,P,A
2026-04-08,13:15-15:15,DBMS (L),A,P,A,P,P,P,P,A,P,P,P,A,A,P,P,P,A,P,P,P,P,P,P,P,A,A,P
2026-04-09,08:00-09:00,DSA (T),P,A,P,A,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P
2026-04-09,09:00-10:00,AS (T),P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,A,P,A,A,A
2026-04-09,10:30-12:30,CTC (L),A,P,A,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A
2026-04-09,13:15-15:15,DSA (L),P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,A,A,P,A,P,P,P,A,P,P,P
2026-04-10,08:00-09:00,DBMS (T),P,A,P,A,P,P,P,A,P,A,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,A
2026-04-10,09:00-10:00,DSA (T),A,P,A,A,P,P,P,P,P,P,P,P,P,P,P,A,A,A,P,A,A,P,P,P,P,P,P
2026-04-10,10:30-12:30,DSA (L),A,P,P,P,A,P,P,P,P,A,P,P,P,A,P,P,P,P,P,A,P,P,A,P,P,P,P
2026-04-10,13:15-15:15,DBMS (L),P,P,A,P,P,A,P,A,P,P,P,P,P,A,P,P,P,P,A,P,P,A,A,P,P,P,P
